duration,max memory,init duration,lang
3055.98,101,721.64,csharp
3081.03,101,721.59,csharp
122.2,101,,csharp
69.2,102,,csharp
3078.36,101,756.05,csharp
126.97,102,,csharp
108.39,102,,csharp
3045.28,101,676.56,csharp
128.88,102,,csharp
54.4,102,,csharp
3053.75,101,731.73,csharp
132.42,102,,csharp
46.32,102,,csharp
3077.02,101,740.18,csharp
109.72,102,,csharp
48.9,102,,csharp
3040.64,101,701.39,csharp
120.03,102,,csharp
72.09,102,,csharp
3051.79,101,737.61,csharp
131.44,102,,csharp
63.54,102,,csharp
3014.97,101,722.79,csharp
129.6,101,,csharp
47.64,102,,csharp
3053.56,101,705.27,csharp
143.98,102,,csharp
44.23,102,,csharp
3156.85,101,736.75,csharp
109.26,102,,csharp
407.34,102,,csharp
3105.37,101,704.47,csharp
127.84,101,,csharp
107.19,102,,csharp
3098.61,101,715.19,csharp
126.36,102,,csharp
49.11,102,,csharp
3067.77,101,701.46,csharp
1030.99,105,,csharp
227.07,106,,csharp
127.51,107,,csharp
240.14,107,,csharp
30.04,107,,csharp
569.01,110,,csharp
3117.82,101,715.77,csharp
151.39,102,,csharp
428.89,104,,csharp
3081.61,102,731.65,csharp
130.57,102,,csharp
245.96,103,,csharp
3005.86,101,714.18,csharp
113.12,102,,csharp
51.21,102,,csharp
3130.91,101,723.04,csharp
121.53,102,,csharp
3015.06,101,681.81,csharp
107.15,102,,csharp
47.12,102,,csharp
3123.97,101,722.0,csharp
110.04,101,,csharp
69.77,102,,csharp
3033.88,101,690.2,csharp
145.81,102,,csharp
43.42,102,,csharp
3060.08,101,732.04,csharp
126.75,102,,csharp
68.5,102,,csharp
1261.58,51,96.9,go
30.94,51,,go
26.4,51,,go
1291.16,52,130.93,go
20.17,52,,go
22.08,52,,go
1265.43,51,112.84,go
47.43,52,,go
31.55,52,,go
1340.36,52,122.35,go
29.05,52,,go
1350.16,53,113.28,go
22.48,53,,go
23.27,53,,go
1269.11,52,113.96,go
24.44,52,,go
25.03,52,,go
1304.12,52,115.83,go
19.04,52,,go
25.91,52,,go
1186.98,52,127.01,go
52.63,52,,go
24.12,52,,go
1207.47,52,102.39,go
118.06,52,,go
23.11,52,,go
1170.94,52,105.11,go
22.96,52,,go
22.0,52,,go
1249.89,51,138.22,go
41.27,51,,go
24.08,51,,go
1287.87,52,113.92,go
24.52,52,,go
25.94,52,,go
1300.1,52,114.23,go
26.29,52,,go
27.06,53,,go
1314.92,52,115.52,go
34.35,52,,go
27.39,52,,go
1286.39,52,100.12,go
24.86,52,,go
21.96,52,,go
1295.38,53,142.81,go
24.91,53,,go
32.96,53,,go
1271.57,51,114.6,go
25.59,51,,go
27.94,52,,go
72.7,52,,go
34.17,52,,go
21.17,52,,go
1326.61,52,107.94,go
48.94,52,,go
48.21,52,,go
1348.04,52,106.69,go
23.88,52,,go
31.96,52,,go
1284.23,52,110.24,go
27.82,52,,go
22.69,52,,go
1304.41,52,112.96,go
25.53,52,,go
30.46,53,,go
24071.67,179,1766.15,java
805.47,181,,java
764.71,184,,java
832.34,184,,java
605.91,184,,java
546.35,184,,java
24803.57,183,1757.88,java
712.09,183,,java
698.1,183,,java
23291.81,183,1846.08,java
621.0,183,,java
344.16,183,,java
21921.54,183,1703.84,java
786.56,184,,java
589.95,184,,java
23485.74,184,1796.74,java
720.79,184,,java
620.35,184,,java
23224.4,184,1770.05,java
661.07,185,,java
524.82,185,,java
22891.85,184,1733.94,java
426.39,185,,java
625.85,185,,java
23990.93,178,1787.17,java
772.25,179,,java
748.59,183,,java
24007.33,180,1811.78,java
809.72,181,,java
732.01,184,,java
20654.73,175,1740.34,java
2811.85,183,,java
647.25,183,,java
24184.97,182,1732.98,java
625.87,183,,java
707.46,183,,java
20418.75,176,1894.28,java
2907.98,183,,java
630.15,183,,java
22555.35,179,1782.5,java
749.23,183,,java
871.36,184,,java
24615.18,179,1834.47,java
614.07,183,,java
22457.11,184,1784.83,java
705.87,184,,java
685.67,184,,java
22239.89,179,1802.26,java
1277.29,180,,java
729.93,185,,java
25051.01,185,1754.41,java
762.4,185,,java
649.19,186,,java
21865.4,179,1736.77,java
1029.26,184,,java
528.74,184,,java
22412.71,183,1793.69,java
526.09,184,,java
427.81,185,,java
24178.09,183,1772.86,java
2537.69,185,,java
685.88,186,,java
22510.0,184,1752.08,java
547.58,184,,java
543.57,185,,java
531.82,82,449.79,python
105.92,82,,python
124.79,82,,python
525.54,82,392.98,python
129.7,82,,python
129.04,82,,python
517.11,82,369.13,python
150.64,82,,python
109.11,82,,python
485.96,82,352.07,python
105.88,82,,python
129.07,82,,python
242.21,83,,python
169.22,83,,python
126.56,83,,python
511.73,82,385.95,python
127.71,82,,python
126.19,82,,python
513.47,82,404.2,python
153.84,82,,python
111.54,82,,python
474.36,81,387.8,python
124.29,82,,python
127.07,82,,python
504.32,81,397.42,python
145.98,81,,python
131.38,82,,python
501.44,82,383.88,python
110.51,82,,python
145.03,82,,python
491.35,82,388.11,python
150.06,82,,python
150.06,82,,python
504.35,82,405.51,python
125.21,82,,python
128.11,82,,python
509.41,82,396.28,python
123.3,82,,python
130.18,82,,python
497.32,82,400.65,python
128.88,82,,python
121.3,82,,python
499.14,81,386.68,python
128.6,81,,python
126.87,82,,python
513.34,82,388.19,python
74.47,82,,python
125.67,82,,python
534.89,82,410.66,python
103.44,82,,python
133.25,82,,python
530.66,82,413.8,python
150.92,82,,python
125.87,82,,python
515.25,81,434.57,python
127.82,82,,python
130.85,82,,python
517.36,81,412.17,python
128.34,82,,python
126.13,82,,python
487.24,82,390.72,python
92.33,82,,python
126.52,82,,python
